Date,VKOSPI,VIX,SNP.RV,KOSPI.RV
2003-01-06,33.04,24.91,0.008186903,0.012432831
2003-01-07,33.98,25.129999,0.010548387,0.015063742
2003-01-08,33.17,25.530001,0.011272095,0.016324941
2003-01-09,34.02,24.25,0.010671167,0.018595588
2003-01-10,38.05,24.32,0.01270998,0.034355114
2003-01-13,37.56,24.9,0.01111425,0.016596403
2003-01-14,36.75,24.57,0.008429139,0.016619201
2003-01-15,35.59,25.51,0.008228342,0.012993185
2003-01-16,35.86,25.01,0.010068836,0.023543314
2003-01-22,36.47,29.01,0.009985558,0.01380974
2003-01-23,36.67,27.530001,0.012212,0.014149801
2003-01-24,36.6,31.51,0.012754932,0.015895495
2003-01-27,38.46,34.689999,0.016199446,0.014797918
2003-01-28,36.11,31.93,0.012055736,0.012002531
2003-01-29,36.36,31.26,0.015701341,0.014671466
2003-01-30,35.88,31.32,0.011445808,0.009592527
2003-02-03,35.82,31.02,0.010476191,0.011265791
2003-02-04,36.38,32.759998,0.015886441,0.013761549
2003-02-05,36.91,33.040001,0.013620167,0.009879359
2003-02-06,37.05,33.349998,0.013573478,0.012031993
2003-02-07,38.8,34.009998,0.013683082,0.01489821
2003-02-10,38.54,33.990002,0.011646451,0.011826785
2003-02-11,37.2,33.68,0.009707508,0.026139912
2003-02-12,37.59,34.330002,0.010789421,0.011401599
2003-02-13,39.7,33.700001,0.013311155,0.02097997
2003-02-14,37.4,32.619999,0.01432392,0.014605279
2003-02-18,36.63,31.110001,0.012581172,0.01851507
2003-02-19,35.63,31.309999,0.009070496,0.016046722
2003-02-20,35.14,31.16,0.008941648,0.011965228
2003-02-21,34.79,30.25,0.012324079,0.009348849
2003-02-24,34.59,31.98,0.009811268,0.011511085
2003-02-25,36.08,31.74,0.015791642,0.0131547
2003-02-26,35.84,31.940001,0.011300849,0.012620987
2003-02-27,35.53,30.530001,0.013932981,0.010767027
2003-02-28,35.45,29.629999,0.0102998,0.011117922
2003-03-03,35.26,30.43,0.012242521,0.00826926
2003-03-04,35.24,31.83,0.00716231,0.011156671
2003-03-05,36.06,30.379999,0.011140515,0.009647631
2003-03-06,37.63,31.370001,0.014060274,0.016154519
2003-03-07,38.66,31.08,0.018381922,0.018291567
2003-03-10,39.53,33.310001,0.011370037,0.012208277
2003-03-11,39.9,33.610001,0.011254803,0.012304217
2003-03-12,39.62,33.509998,0.013588709,0.013251254
2003-03-13,40.87,31.76,0.01752426,0.028406792
2003-03-14,38,30.98,0.015437371,0.01337843
2003-03-17,42.9,31.75,0.019354919,0.014928081
