state,year,cpi,pop,packpc,income,tax,avgprs,taxs,log_Q,log_I,log_P,CT,T
AL,1985,1.07599998,3973000,116.486282,46014968,32.5000038,102.181671,33.3483353,4.757773515,2.376194815,4.553501874,30.20446506,0.788412189
AR,1985,1.07599998,2327000,128.534592,26210736,37,101.474998,37,4.856198067,2.34833877,4.546562,34.38661774,0
AZ,1985,1.07599998,3184000,104.522614,43956936,31,108.578751,36.1704178,4.64940345,2.551821716,4.614225282,28.81040946,4.805221093
CA,1985,1.07599998,26444000,100.363037,447102816,26,107.837341,32.1040001,4.608793982,2.754508849,4.607373547,24.16356922,5.672862652
CO,1985,1.07599998,3209000,112.963539,49466672,31,94.2666626,31,4.727065103,2.662089345,4.472877159,28.81040946,0
CT,1985,1.07599998,3201000,109.278351,60063368,42,128.024994,51.4833336,4.693898306,2.858686434,4.778975067,39.03345797,8.813507227
DE,1985,1.07599998,618000,143.851135,9927301,30,102.491661,30,4.96877898,2.703305017,4.556530996,27.88104141,0
FL,1985,1.07599998,11352000,122.181122,166919248,37,115.290001,42.4900017,4.80550455,2.614865768,4.674200259,34.38661774,5.102232158
GA,1985,1.07599998,5963000,127.234619,78364336,28,97.0251694,28.8418331,4.846032776,2.502544773,4.50171998,26.02230532,0.782372784
IA,1985,1.07599998,2830000,113.745583,37902896,34,101.842003,37.9169998,4.733964226,2.521500366,4.550172179,31.5985136,3.640334454
ID,1985,1.07599998,994000,103.018112,11577261,25.1000004,102.89933,29.0576668,4.634904817,2.381810545,4.560500688,23.32713835,3.678128693
IL,1985,1.07599998,11401000,123.208481,176786352,28.0000057,104.440254,28.9152565,4.813877888,2.667990439,4.575364733,26.02231061,0.850604849
IN,1985,1.07599998,5460000,137.637375,71751616,26.5,96.1800003,31.0799999,4.924622509,2.502511144,4.492970996,24.62825325,4.256505562
KS,1985,1.07599998,2428000,116.680397,34784360,32,98.9229126,34.8812485,4.759438547,2.588849544,4.521090443,29.7397775,2.677740291
KY,1985,1.07599998,3695000,186.035187,42703144,19,87.0012512,23.1429176,5.225935833,2.37404155,4.392672057,17.65799289,3.850295239
LA,1985,1.07599998,4409000,127.557266,53431900,32,108.393997,36.1689987,4.848565409,2.421509596,4.612522266,29.7397775,3.87453418
MA,1985,1.07599998,5881000,115.677597,98328688,42,112.208336,42,4.750806985,2.743338567,4.647106843,39.03345797,0
MD,1985,1.07599998,4414000,120.978706,74851664,29,91.9666672,29,4.795614547,2.757476591,4.448175755,26.95167336,0
ME,1985,1.07599998,1163000,128.116943,14575292,36,107.047501,41.0974998,4.852943464,2.45507445,4.600022227,33.45724969,4.737453434
MI,1985,1.07599998,9077000,128.004852,133728040,37,104.914169,37.8308334,4.852068169,2.616814001,4.579892135,34.38661774,0.772150014
MN,1985,1.07599998,4185000,112.903229,63152360,34,113.649666,40.4329987,4.726531071,2.640793072,4.659870168,31.5985136,5.978623438
MO,1985,1.07599998,5001000,130.373932,69341920,29.0000038,99.3381653,29.8548374,4.870406722,2.556161294,4.525279397,26.9516769,0.794455033
MS,1985,1.07599998,2588000,117.040184,25678534,27.5833321,105.293335,33.5433311,4.762517329,2.22151957,4.583499679,25.63506748,5.539032631
MT,1985,1.07599998,822000,104.257904,9785230,32,99.2916641,32,4.646867676,2.403638547,4.524811178,29.7397775,0
NC,1985,1.07599998,6255000,155.283768,79104656,18,84.9679947,21.2679996,5.045254204,2.464140148,4.369024209,16.72862485,3.037174406
ND,1985,1.07599998,677000,105.465286,8672948,34,106.807999,38.1080017,4.658381856,2.477042319,4.597782378,31.5985136,3.817845517
NE,1985,1.07599998,1585000,107.381706,21778072,34,104.606667,38.0233345,4.676389832,2.547068742,4.576956844,31.5985136,3.739158527
NH,1985,1.07599998,997000,197.993988,15767469,33,95.5,33,5.288236667,2.687702959,4.485875804,30.66914555,0
NJ,1985,1.07599998,7566000,116.521278,133549208,41,110.416664,41,4.7580739,2.79755504,4.631010621,38.10408993,0
NM,1985,1.07599998,1439000,88.7421799,17258916,28,102.778,31.9529991,4.485735311,2.411130008,4.559320879,26.02230532,3.673791053
NV,1985,1.07599998,951000,141.955841,14581495,31,114.188499,37.463501,4.95551603,2.656744032,4.66460014,28.81040946,6.006971301
NY,1985,1.07599998,17794000,116.662918,297728512,37.0000038,109.997826,37.8811722,4.759288734,2.744070273,4.627210159,34.38662127,0.818929755
OH,1985,1.07599998,10736000,127.59874,153455776,30,100.423744,34.7820816,4.848890496,2.586559398,4.53614823,27.88104141,4.444313837
OK,1985,1.07599998,3272000,127.139366,43395580,34,101.468079,34.826416,4.845283855,2.511705731,4.546493813,31.5985136,0.768044624
OR,1985,1.07599998,2673000,119.453796,36205164,35,97.0333328,35,4.782929652,2.53274988,4.501804113,32.52788165,0
PA,1985,1.07599998,11772000,117.703026,170033840,34,109.074005,40.1739998,4.768164723,2.597023203,4.618776154,31.5985136,5.737918136
RI,1985,1.07599998,967000,132.781784,14229156,39,100.941666,39,4.888707059,2.615599439,4.541292342,36.24535383,0
SC,1985,1.07599998,3304000,127.209442,38536176,23,90.6412506,27.3162498,4.845834878,2.383213138,4.433658971,21.37546508,4.011384647
